id,title,headline,level,locale,rating_average,rating_count,duration_seconds,is_free,is_practice_test_course,instructors,lectures_count,practice_test_questions_count,badges,updated_on,url_course_landing,url_course_taking,image_240x135,tracking_id,hands_on_ribbons
3693938,Машинное зрение: локализация объектов на Python,"Обработка изображений с помощью фильтров, градиентов, каскадов и нейросетей для выделения форм и областей",EXPERT,ru-RU,3.2179689407348633,9,10458,False,False,Центр digital-профессий ITtensive,20,0,,2020-12-09,https://www.udemy.com/course/ittensive-machine-vision-localization,https://www.udemy.com/course/ittensive-machine-vision-localization/learn,https://img-c.udemycdn.com/course/240x135/3693938_1bb3_3.jpg,dWcGXpe0TqixTwdIWInPJg,
4510678,Next.js: El framework de React para producción,"SSR, SSG, CSR, ISR, Middlewares, Rutas dinámicas, Next API, Next Auth, Material UI, despliegues, Cookies y más.",ALL_LEVELS,es-LA,4.739453315734863,4340,132232,False,False,Fernando Herrera|{d/t} - DevTalles,404,0,Bestseller|Highest Rated|Bestseller|Highest Rated,2026-01-08,https://www.udemy.com/course/nextjs-fh,https://www.udemy.com/course/nextjs-fh/learn,https://img-c.udemycdn.com/course/240x135/4510678_1844_2.jpg,fsPDyerKQsqbtXARx6NXIw,
2426224,"超Vue.js 完全ガイド2025 (Vue Router, Pinia含む)",Vue.js 3を基礎から、Vue Router、Pinia、TypeScriptを使った実践的な内容まで網羅的に学びますので、ぜひご受講ください。ReactやAngularなど他のJavaScriptフレームワークをお使いの方もぜひ！,ALL_LEVELS,ja-JP,4.364493370056152,4524,115764,False,False,よしぴー (Yoshipi),434,0,Good for Beginners|Highest Rated|Highest Rated|Bestseller|Good for Beginners|Bestseller,2026-02-24,https://www.udemy.com/course/vue-js-complete-guide,https://www.udemy.com/course/vue-js-complete-guide/learn,https://img-c.udemycdn.com/course/240x135/2426224_daa4_3.jpg,_6uj4DjjS9eilMzsCQ02qg,
6849369,Java : 150+ Exercices pour passer de Débutant à Avancé,"Maîtrisez Java par la pratique : Bases, Conditions, Boucles, Tableaux, POO, Collections et Fichiers. Plus de 150 défis.",ALL_LEVELS,fr-FR,4,1,9670,False,False,Thomas Collart|Comment Coder | Formations Python et Programmation,15,0,,2026-02-01,https://www.udemy.com/course/exercices-java,https://www.udemy.com/course/exercices-java/learn,https://img-c.udemycdn.com/course/240x135/6849369_d606.jpg,7e2-OrtaR6ukKMITaV3OfQ,
4434694,Aprende JavaScript sin dolor,Aprende el lenguaje que dominan internet: JavaScript,ALL_LEVELS,es-MX,4.6983747482299805,54,226021,False,False,Francisco Javier Arce Anguiano,443,101,,2026-02-26,https://www.udemy.com/course/aprende-javascript-sin-dolor,https://www.udemy.com/course/aprende-javascript-sin-dolor/learn,https://img-c.udemycdn.com/course/240x135/4434694_d09f.jpg,I8OdplDzQxqp4HQBcWssCQ,
6161427,SQL - Aprende desde cero | Aplicado a Negocios & Analytics,"Domina SQL de nivel básico a nivel avanzado, trabajando con ejercicios de negocio y análisis de datos",ALL_LEVELS,es-LA,4.60805082321167,100,44867,False,False,Luigi Analytics,118,0,,2026-01-03,https://www.udemy.com/course/sql-aprende-desde-cero-aplicado-a-negocios-analytics,https://www.udemy.com/course/sql-aprende-desde-cero-aplicado-a-negocios-analytics/learn,https://img-c.udemycdn.com/course/240x135/6161427_37cf.jpg,Ai8CHR3yRwSjxtNmPz6kJA,
2202518,Microsoft Azure Infraestrutura - Curso Completo,"Mais de 40 horas de treinamento sobre a Plataforma na Nuvem da Microsoft. Curso completo, do básico ao avançado!",ALL_LEVELS,pt-BR,4.674466133117676,2239,147127,False,False,Higor Barbosa,422,0,Good for Beginners|Highest Rated|Good for Beginners|Bestseller|Good for Beginners|Good for Beginners|Bestseller|Good for Beginners|Good for Beginners|Good for Beginners|Highest Rated|Good for Beginners,2024-07-17,https://www.udemy.com/course/azureinfraestrutura,https://www.udemy.com/course/azureinfraestrutura/learn,https://img-c.udemycdn.com/course/240x135/2202518_37a7_2.jpg,0bNgqcTFSfOtrhk9CR3_8A,
4166816,【中級者向け・Django4対応】Python/DjangoによるECサイト開発講座（Django3.2系にも対応）,Djangoのクラスビューをフル活用したECサイト・アプリ開発、ショッピングカート機能、決済機能、認証機能、セッションフレームワーク、メッセージフレームワークなど,INTERMEDIATE,ja-JP,4.309942245483398,235,35386,False,False,taku - www.takux.one,218,0,,2023-06-17,https://www.udemy.com/course/django-ecweb-vegeket,https://www.udemy.com/course/django-ecweb-vegeket/learn,https://img-c.udemycdn.com/course/240x135/4166816_2ec1_5.jpg,YdzVlAZmTWGYNSUcQNDTJQ,
6034846,Microsoft Excel - الاكسل من الصفر للاحتراف,Learn Data Analysis Step-by-Step and Build Expertise Using  Excel,INTERMEDIATE,ar-AR,4.686022758483887,253,37059,False,False,Qusay Tawfiq AL-Btoush,15,0,,2026-02-07,https://www.udemy.com/course/data-analysis-using-excel,https://www.udemy.com/course/data-analysis-using-excel/learn,https://img-c.udemycdn.com/course/240x135/6034846_bb48_3.jpg,b5V517jHTK60c7w758XvVw,
2743350,Curso de Python 3 Completo - Do Zero ao Avançado,Linguagem de Programação Python do Básico ao Avançado. Torne-se um Desenvolvedor Python Completo! Web Scraping e Mais!,ALL_LEVELS,pt-BR,4.505865097045898,215,73053,False,False,Danilo Moreira,256,0,,2020-10-26,https://www.udemy.com/course/curso-de-python-3-completo-do-zero-ao-avancado,https://www.udemy.com/course/curso-de-python-3-completo-do-zero-ao-avancado/learn,https://img-c.udemycdn.com/course/240x135/2743350_084b_2.jpg,bI4-1RorQmGyIfz6Ngyflg,
